"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"891","In PA #Trump got ~68K more votes.#JillStein got ~49K. There were ~211.5K third party votes. #Hillary needs ~139K or 65% to win 20 Electorals",FALSE,0,NA,2016-11-11 21:34:58,FALSE,NA,"797190907204403200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","immoderator",0,FALSE,FALSE,NA,NA
"892","RT @JoeyMinnesota: #Bernieorbust #berniebros and #JillStein are the worst people ever. Fuck you guys, and your whiny bitchy need to have ev…",FALSE,0,NA,2016-11-11 21:33:56,FALSE,NA,"797190648290050050",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GracieM69614504",5,TRUE,FALSE,NA,NA
"893","RT @JohnLeguizamo: I hope #jillStein and #garyJohnson are happy! #Trump needs to thank them for his win!",FALSE,0,NA,2016-11-11 21:29:08,FALSE,NA,"797189442448474112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","monster_bri",133,TRUE,FALSE,NA,NA
"894","RT @Progress4POtUSA: #DEMS Stop Blaming 3rd Party,#JillStein or Bernie fans! Look @ self! America will have to REAP what Dem.Estab.(#DNC,#H…",FALSE,0,NA,2016-11-11 21:27:03,FALSE,NA,"797188915258150912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bigmoneysucks",2,TRUE,FALSE,NA,NA
"895","RT @EricMcCormack: This is heartbreaking. If you threw your vote away on #JillStein, do me a favor: don't tell me. Self(ish)-destruction. @…",FALSE,0,NA,2016-11-11 21:26:53,FALSE,NA,"797188874967584768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NotTiff_Tiffany",536,TRUE,FALSE,NA,NA
"896","RT @EricMcCormack: This is heartbreaking. If you threw your vote away on #JillStein, do me a favor: don't tell me. Self(ish)-destruction. @…",FALSE,0,NA,2016-11-11 21:25:36,FALSE,NA,"797188552048132096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amarvarma",536,TRUE,FALSE,NA,NA
"897","@_belle_curve_
#USA #Citizens should be able to vote for more than 1 candidate--bless your vote for #JillStein; but, #Hillary=#Criminal",FALSE,0,"_belle_curve_",2016-11-11 21:25:21,FALSE,"797133709556256768","797188489515253760","1165934089","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BrianGPowell",0,FALSE,FALSE,NA,NA
"898","RT @EricMcCormack: This is heartbreaking. If you threw your vote away on #JillStein, do me a favor: don't tell me. Self(ish)-destruction. @…",FALSE,0,NA,2016-11-11 21:24:17,FALSE,NA,"797188218630213632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CathyGV61",536,TRUE,FALSE,NA,NA
"899","RT @JohnLeguizamo: I hope #jillStein and #garyJohnson are happy! #Trump needs to thank them for his win!",FALSE,0,NA,2016-11-11 21:24:06,FALSE,NA,"797188175554691072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CathyGV61",133,TRUE,FALSE,NA,NA
"900","RT @EricMcCormack: This is heartbreaking. If you threw your vote away on #JillStein, do me a favor: don't tell me. Self(ish)-destruction. @…",FALSE,0,NA,2016-11-11 21:23:33,FALSE,NA,"797188037750845440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ddr_seattle",536,TRUE,FALSE,NA,NA
"901","RT @JohnLeguizamo: I hope #jillStein and #garyJohnson are happy! #Trump needs to thank them for his win!",FALSE,0,NA,2016-11-11 21:23:10,FALSE,NA,"797187940958904320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ddr_seattle",133,TRUE,FALSE,NA,NA
"902","RT @JoeyMinnesota: #Bernieorbust #berniebros and #JillStein are the worst people ever. Fuck you guys, and your whiny bitchy need to have ev…",FALSE,0,NA,2016-11-11 21:20:20,FALSE,NA,"797187227549724672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","doodlebug0",5,TRUE,FALSE,NA,NA
"903","@andersoncooper @VanJones68 @HillaryClinton @realDonaldTrump #garyjohnson #jillstein #3rdpartyvoices #thisisnotdemocracy",FALSE,0,"STAMB04",2016-11-11 21:13:27,FALSE,"797183664165715968","797185493582696448","721781416464379904","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","STAMB04",0,FALSE,FALSE,NA,NA
"904","@VanJones68 @CNN @MSN @FoxNews #3rdparty
#vanjones #cnnelection #garyjohnson #jillstein #isntsomethingfishy?",FALSE,0,"STAMB04",2016-11-11 21:08:46,FALSE,"797184031293145088","797184316954513408","721781416464379904","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","STAMB04",0,FALSE,FALSE,NA,NA
"905","RT @JoeyMinnesota: #Bernieorbust #berniebros and #JillStein are the worst people ever. Fuck you guys, and your whiny bitchy need to have ev…",FALSE,0,NA,2016-11-11 21:08:28,FALSE,NA,"797184241285021696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TarotDarrow",5,TRUE,FALSE,NA,NA
"906","@VanJones68 @CNN @MSN @FoxNews #GaryJohnson #JillStein do you think this is a problem?Suppressing views based on polls run by the oppressors",FALSE,0,"STAMB04",2016-11-11 21:07:38,FALSE,"797183664165715968","797184031293145088","721781416464379904","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","STAMB04",0,FALSE,FALSE,NA,NA
"907","#Bernieorbust #berniebros and #JillStein are the worst people ever. Fuck you guys, and your whiny bitchy need to ha… https://t.co/PI8xX4yOGd",FALSE,2,NA,2016-11-11 21:01:14,TRUE,NA,"797182421993132032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JoeyMinnesota",5,FALSE,FALSE,NA,NA
"908","RT @Progress4POtUSA: #DEMS Stop Blaming 3rd Party,#JillStein or Bernie fans! Look @ self! America will have to REAP what Dem.Estab.(#DNC,#H…",FALSE,0,NA,2016-11-11 20:52:25,FALSE,NA,"797180199645286400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joelfbcosta",2,TRUE,FALSE,NA,NA
